RoadNumber,StartCity,EndCity,DistanceKm,RoadType
1,Helsinki,Espoo,20,Motorway
1,Espoo,Lohja,33,Motorway
1,Lohja,Salo,59,Motorway
1,Salo,Turku,53,Motorway
2,Vihti,Karkkila,31,Highway
2,Karkkila,Forssa,47,Highway
2,Forssa,Pori,126,Highway
3,Helsinki,Hämeenlinna,100,Motorway
3,Hämeenlinna,Tampere,79,Motorway
3,Tampere,Mustasaari,230,Highway
3,Mustasaari,Vaasa,15,Motorway
4,Helsinki,Lahti,108,Motorway
4,Lahti,Heinola,32,Motorway
4,Heinola,Jyväskylä,138,Highway
4,Jyväskylä,Liminka,310,Highway
4,Liminka,Oulu,28,Motorway
4,Oulu,Simo,82,Highway
4,Simo,Kemi,26,Motorway
4,Kemi,Keminmaa,8,Motorway
4,Keminmaa,Rovaniemi,108,Highway
4,Rovaniemi,Sodankylä,128,Highway
4,Sodankylä,Ivalo,160,Highway
4,Ivalo,Utsjoki,167,Highway
5,Heinola,Mikkeli,83,Highway
5,Mikkeli,Humalajoki,137,Highway
5,Humalajoki,Kuopio,18,Motorway
5,Kuopio,Siilinjärvi,23,Motorway
5,Siilinjärvi,Kajaani,156,Highway
5,Kajaani,Kuusamo,248,Highway
5,Kuusamo,Kemijärvi,132,Highway
5,Kemijärvi,Sodankylä,108,Highway
6,Loviisa,Kouvola,62,Highway
6,Kouvola,Lappeenranta,87,Highway
6,Lappeenranta,Imatra,38,Highway
6,Imatra,Niittylahti,185,Highway
6,Niittylahti,Joensuu,16,Motorway
6,Joensuu,Nurmes,118,Highway
6,Nurmes,Kajaani,98,Highway
7,Helsinki,Porvoo,50,Motorway
7,Porvoo,Loviisa,41,Motorway
7,Loviisa,Kotka,40,Motorway
7,Kotka,Hamina,22,Motorway
7,Hamina,Vaalimaa,36,Motorway
8,Turku,Nousiainen,25,Motorway
8,Nousiainen,Rauma,65,Highway
8,Rauma,Pori,51,Highway
8,Pori,Mustasaari,177,Highway
8,Mustasaari,Vaasa,15,Motorway
8,Vaasa,Kokkola,121,Highway
8,Kokkola,Liminka,172,Highway
9,Turku,Lieto,13,Motorway
9,Lieto,Konho,111,Highway
9,Konho,Tampere,36,Motorway
9,Tampere,Jyväskylä,150,Highway
9,Jyväskylä,Humalajoki,126,Highway
9,Humalajoki,Kuopio,18,Motorway
9,Kuopio,Siilinjärvi,23,Motorway
9,Siilinjärvi,Outokumpu,66,Highway
9,Outokumpu,Liperi,17,Highway
9,Liperi,Joensuu,29,Motorway
9,Joensuu,Niirala,74,Highway
10,Turku,Forssa,85,Highway
10,Forssa,Hämeenlinna,54,Highway
10,Hämeenlinna,Tuulos,28,Highway
11,Nokia,Pori,97,Highway
12,Rauma,Huittinen,68,Highway
12,Huittinen,Tampere,74,Highway
12,Tampere,Lahti,128,Highway
12,Lahti,Kouvola,69,Highway
13,Kokkola,Kyyjärvi,123,Highway
13,Kyyjärvi,Jyväskylä,128,Highway
13,Jyväskylä,Mikkeli,117,Highway
13,Mikkeli,Lappeenranta,113,Highway
13,Lappeenranta,Nuijamaa,18,Highway
14,Juva,Savonlinna,64,Highway
14,Savonlinna,Punkaharju,34,Highway
14,Punkaharju,Parikkala,20,Highway
15,Kotka,Kouvola,53,Highway
15,Kouvola,Mikkeli,105,Highway
16,Ylistaro,Lapua,27,Highway
16,Lapua,Alajärvi,40,Highway
16,Alajärvi,Kyyjärvi,39,Highway
18,Jyväskylä,Ähtäri,112,Highway
18,Ähtäri,Seinäjoki,81,Highway
18,Seinäjoki,Laihia,52,Highway
18,Laihia,Vaasa,24,Highway
19,Jalasjärvi,Seinäjoki,33,Highway
19,Seinäjoki,Lapua,26,Highway
19,Lapua,Kauhava,8,Highway
19,Kauhava,Uusikaarlepyy,54,Highway
20,Oulu,Kiiminki,20,Highway
20,Kiiminki,Pudasjärvi,69,Highway
20,Pudasjärvi,Taivalkoski,67,Highway
20,Taivalkoski,Kuusamo,62,Highway
21,Tornio,Pello,121,Highway
21,Pello,Kolari,68,Highway
21,Kolari,Muonio,70,Highway
21,Muonio,Kilpisjärvi,207,Highway
22,Oulu,Muhos,33,Highway
22,Muhos,Utajärvi,24,Highway
22,Utajärvi,Vaala,33,Highway
22,Vaala,Paltamo,54,Highway
22,Paltamo,Kajaani,41,Highway
23,Pori,Parkano,94,Highway
23,Parkano,Jyväskylä,174,Highway
23,Jyväskylä,Varkaus,127,Highway
23,Varkaus,Joensuu,122,Highway
24,Lahti,Padasjoki,54,Highway
24,Padasjoki,Jämsä,60,Highway
25,Hanko,Tammisaari,35,Highway
25,Tammisaari,Lohja,59,Highway
25,Lohja,Nummela,16,Highway
25,Nummela,Hyvinkää,31,Highway
25,Hyvinkää,Mäntsälä,30,Highway
26,Hamina,Luumäki,46,Highway
27,Kalajoki,Nivala,74,Highway
27,Nivala,Pyhäjärvi,59,Highway
27,Pyhäjärvi,Iisalmi,70,Highway
28,Kälviä,Nivala,84,Highway
28,Nivala,Kärsämäki,41,Highway
28,Kärsämäki,Pyhäntä,34,Highway
28,Pyhäntä,Kajaani,57,Highway
29,Keminmaa,Tornio,16,Motorway
