RoadNumber,StartCity,EndCity,DistanceKm,RoadType
1,Helsinki,Espoo,20,Motorway
1,Espoo,Palojarvi,21,Motorway
1,Palojarvi,Lohja,12,Motorway
1,Lohja,Salo,59,Motorway
1,Salo,Turku,53,Motorway
2,Palojarvi,Nummela,7,Highway
2,Nummela,Vihti,7,Highway
2,Vihti,Karkkila,17,Highway
2,Karkkila,Forssa,47,Highway
2,Forssa,Humppila,23,Highway
2,Humppila,Huittinen,44,Highway
2,Huittinen,Pori,59,Highway
2,Pori,Mantyluoto,23,Highway
3,Helsinki,Hyvinkaa,54,Motorway
3,Hyvinkaa,Hameenlinna,46,Motorway
3,Hameenlinna,Toijala,49,Motorway
3,Toijala,Tampere,30,Motorway
3,Tampere,Parkano,92,Highway
3,Parkano,Jalasjarvi,60,Highway
3,Jalasjarvi,Laihia,69,Highway
3,Laihia,Vaasa,24,Highway
4,Helsinki,Mantsala,59,Motorway
4,Mantsala,Lahti,49,Motorway
4,Lahti,Heinola,42,Motorway
4,Heinola,Jyvaskyla,128,Highway
4,Jyvaskyla,Aanekoski,38,Highway
4,Aanekoski,Pyhajarvi,143,Highway
4,Pyhajarvi,Karsamaki,34,Highway
4,Karsamaki,Liminka,100,Highway
4,Liminka,Oulu,23,Motorway
4,Oulu,Kemi,108,Highway
4,Kemi,Keminmaa,10,Motorway
4,Keminmaa,Rovaniemi,106,Highway
4,Rovaniemi,Sodankyla,128,Highway
4,Sodankyla,Ivalo,160,Highway
4,Ivalo,Utsjoki,167,Highway
5,Heinola,Mikkeli,83,Highway
5,Mikkeli,Juva,40,Highway
5,Juva,Varkaus,46,Highway
5,Varkaus,Kuopio,69,Highway
5,Kuopio,Iisalmi,85,Highway
5,Iisalmi,Kajaani,94,Highway
5,Kajaani,Paltamo,41,Highway
5,Paltamo,Kuusamo,207,Highway
5,Kuusamo,Kemijarvi,132,Highway
5,Kemijarvi,Sodankyla,108,Highway
6,Koskenkyla,Kouvola,62,Highway
6,Kouvola,Taavetti,49,Highway
6,Taavetti,Lappeenranta,38,Highway
6,Lappeenranta,Imatra,38,Highway
6,Imatra,Parikkala,68,Highway
6,Parikkala,Tikkala,94,Highway
6,Tikkala,Joensuu,39,Highway
6,Joensuu,Nurmes,118,Highway
6,Nurmes,Kajaani,98,Highway
7,Helsinki,Porvoo,50,Motorway
7,Porvoo,Koskenkyla,24,Motorway
7,Koskenkyla,Loviisa,17,Motorway
7,Loviisa,Kotka,40,Motorway
7,Kotka,Hamina,22,Motorway
7,Hamina,Vaalimaa,36,Motorway
8,Turku,Rauma,90,Highway
8,Rauma,Pori,51,Highway
8,Pori,Vaasa,192,Highway
8,Vaasa,Uusikaarlepyy,67,Highway
8,Uusikaarlepyy,Kokkola,54,Highway
8,Kokkola,Kalvia,11,Highway
8,Kalvia,Kalajoki,54,Highway
8,Kalajoki,Liminka,107,Highway
9,Turku,Humppila,84,Highway
9,Humppila,Toijala,46,Highway
9,Toijala,Tampere,30,Highway
9,Tampere,Jamsa,92,Highway
9,Jamsa,Jyvaskyla,58,Highway
9,Jyvaskyla,Hankasalmi,50,Highway
9,Hankasalmi,Kuopio,94,Highway
9,Kuopio,Outokumpu,89,Highway
9,Outokumpu,Joensuu,46,Highway
9,Joensuu,Tikkala,39,Highway
9,Tikkala,Niirala,35,Highway
10,Turku,Forssa,85,Highway
10,Forssa,Hameenlinna,54,Highway
